1,3,1,0,1,4,1,1,2,29,2,4,3,4,3,20,62,10,4,13,16,14,31,96,45,3,6,8,11,16,29,31,3,14,6,1,2,6,3,3,5,111,17,50,53,27,18,47,111,53,34,99,98,77,40,79,65,14,29,53,53,46,56,38,15,40,14,4,9,24,28,7,9,111,39,25,53,38,37,52,63,63,46,56,111,111,63,76,58,43,39,22,45,57,47,36,18,14,9,6,21,27,8,4,6,111,73,32,37,23,15,23,18,34,28,66,103,65,54,89,23,54,21,16,31,40,15,17,23,
1,32,13,10,23,19,22,26,33,38,21,31,44,17,30,66,64,27,71,48,10,9,32,79,32,10,61,14,21,94,13,12,1,58,32,35,38,28,21,26,36,62,29,75,68,21,23,63,59,32,37,104,46,36,36,61,36,37,54,50,28,91,41,28,9,64,44,24,41,43,40,56,47,51,49,44,60,32,32,61,41,37,45,104,87,39,50,95,59,48,40,31,28,64,47,32,17,49,40,26,30,29,21,16,24,40,41,28,34,38,30,23,17,20,30,104,56,24,41,104,43,38,16,22,29,33,13,19,18,
1,10,27,2,1,2,3,2,1,16,18,22,10,4,7,21,23,19,30,76,18,11,24,87,47,10,54,72,11,14,36,48,15,3,15,1,1,3,4,3,1,60,71,42,29,18,19,47,57,47,66,107,45,29,56,104,64,18,56,70,24,33,68,74,21,2,4,5,2,4,15,48,4,102,36,51,36,18,25,73,54,41,91,108,59,36,72,108,80,26,54,33,26,37,45,42,26,4,35,25,3,2,12,46,15,29,30,57,10,26,47,65,22,38,49,108,40,38,63,108,86,28,23,22,23,32,22,20,29,
1,23,29,56,45,22,19,36,26,37,35,26,25,13,20,51,50,21,43,18,6,13,40,84,30,11,34,33,3,27,39,34,4,46,36,20,17,42,39,25,25,45,39,75,33,10,25,59,43,49,66,106,31,31,37,69,41,15,41,87,22,106,45,42,16,46,42,18,23,54,56,23,18,48,61,35,30,20,26,60,26,72,67,83,64,47,47,98,59,43,41,33,30,106,33,44,28,31,19,8,19,38,52,6,12,49,53,20,21,36,35,14,16,40,63,100,54,36,40,90,52,52,32,23,45,93,23,19,16,
1,24,9,7,14,26,7,4,12,19,8,3,6,13,7,4,12,5,6,5,2,1,3,6,8,8,4,2,4,12,9,5,5,110,34,20,37,113,58,27,65,92,36,41,35,74,41,34,47,49,62,80,29,29,43,54,44,43,43,48,26,58,43,41,34,113,25,11,40,113,38,17,38,113,36,25,38,113,50,35,38,61,65,65,36,36,48,61,48,44,38,36,24,37,34,46,50,64,23,18,90,78,17,15,75,64,26,13,43,73,41,18,36,33,54,53,26,27,41,52,42,38,30,44,14,20,11,29,53,
1,1,0,0,0,0,0,1,1,7,2,6,10,5,3,11,26,11,12,15,15,8,18,44,29,5,9,6,3,8,31,22,5,6,2,2,2,2,2,3,4,67,24,27,38,27,21,33,73,67,73,62,36,42,60,87,69,28,50,33,28,73,96,60,28,17,5,3,4,5,4,3,5,104,45,25,47,53,36,39,46,104,93,89,104,74,64,89,89,89,50,56,104,104,68,55,104,4,3,2,2,2,2,3,5,72,55,18,21,31,30,21,15,65,37,41,52,51,24,42,42,59,15,19,60,59,19,11,53,
1,3,3,7,15,16,9,9,5,30,16,28,56,41,21,27,35,28,11,9,11,10,29,80,60,7,7,6,8,22,59,50,17,3,2,5,17,48,26,8,4,56,29,55,31,49,40,41,64,67,66,79,23,22,38,48,58,12,33,78,30,54,65,56,19,7,2,2,6,28,25,12,8,73,47,40,41,88,70,67,70,61,81,103,54,47,55,100,76,21,42,57,32,48,51,65,28,5,3,2,2,2,3,3,5,55,60,22,31,94,78,27,13,40,91,105,34,34,58,105,50,21,25,43,51,38,19,38,37,
1,1,5,63,19,6,3,106,30,27,9,45,56,106,19,106,43,12,6,10,17,18,29,91,31,25,17,12,16,29,24,34,19,5,8,31,11,11,4,12,8,46,24,47,23,106,62,29,36,25,29,77,37,42,42,63,35,26,13,35,42,52,33,28,23,15,19,50,17,5,4,37,23,26,27,44,19,87,64,41,28,46,46,78,52,75,73,60,50,50,42,30,34,69,50,41,40,21,19,35,27,12,6,31,19,60,32,51,99,44,42,28,16,50,37,106,71,45,72,89,23,38,20,49,73,57,16,33,53,
1,11,10,14,9,17,4,19,13,78,30,22,15,7,13,51,84,23,18,33,36,25,46,109,42,11,14,22,36,33,32,69,16,20,15,19,9,6,14,20,9,109,68,77,24,30,41,45,61,31,33,109,59,34,50,60,39,7,16,84,50,38,47,40,16,12,11,22,8,2,4,23,12,109,80,40,26,30,43,43,55,66,39,93,72,99,83,60,87,18,21,36,40,33,41,38,33,8,3,8,6,3,1,23,27,69,43,21,26,12,11,26,26,75,45,75,72,92,60,55,44,12,17,40,53,25,10,21,28,
1,6,5,3,4,4,4,10,7,16,8,31,101,32,6,26,23,15,30,105,59,12,24,90,27,22,90,40,9,13,18,39,13,9,13,8,12,40,6,9,7,40,25,66,82,105,22,49,44,37,53,105,36,25,37,99,52,55,84,53,21,31,52,53,12,9,23,44,14,51,19,9,5,66,49,49,54,105,61,53,26,50,56,66,50,45,44,57,56,53,58,27,34,44,36,40,24,7,38,91,24,11,6,3,2,59,75,39,43,54,53,15,7,32,47,46,17,16,31,42,30,55,29,21,34,78,27,25,66,
